id;job_title;company_name;start_date;end_date;is_current;last_salary;description
1;Human Infrastructure Officer;Loan up;2021-08-12;2021-08-12;true;32177;Assurance Manager Shoes
2;District Branding Supervisor;Group Checking;2021-08-11;2021-08-11;false;59102;next-generation
3;Product Security Executive;Cotton quantifying Concrete;2021-08-12;2021-08-11;true;94413;leverage 1080p
4;National Metrics Strategist;seize Cambridgeshire;2021-08-12;2021-08-11;true;77666;TCP Sausages Dakota
5;Internal Research Analyst;background bluetooth visualize;2021-08-11;2021-08-11;false;87789;adapter rich Automotive
6;Forward Mobility Designer;Uzbekistan Rand redundant;2021-08-11;2021-08-12;true;66688;SQL Steel grey
7;Dynamic Identity Technician;Branding;2021-08-12;2021-08-11;false;62449;cross-media
8;Central Response Executive;Bike Rubber;2021-08-11;2021-08-11;true;32625;Branding Intelligent up
9;Lead Branding Representative;International;2021-08-11;2021-08-11;false;52622;Handcrafted
10;Future Solutions Administrator;Fish Berkshire compress;2021-08-11;2021-08-11;false;47042;Dirham infomediaries Kuwait
