id;context_id;otp;is_active;status;ip;coookie
1;HTTP open-source;90378;false;Approved;Wooden Pants;Web invoice District
2;local white;49354;true;Failed;multi-state Spurs;payment program
3;Industrial deposit;14590;false;Expired;quantify parse;digital Grocery
4;Radial;78162;false;Approved;moratorium cutting-edge Avon;synergy
5;New sensor Tools;11379;false;Failed;Afghani Dollar;Mount Books
6;Cheese holistic;16422;true;Pending;Naira multimedia Legacy;Chair
7;transform;55092;true;Failed;service-desk Malta;Plastic tertiary bluetooth
8;deposit Rubber Health;80024;false;Failed;mission-critical drive;visionary
9;Territory;89060;false;Failed;hack;Metal Facilitator
10;Plastic recontextualize indexing;51779;true;Approved;online;Dynamic Tools quantify
