id;company_name;company_website;company_type;primary_phone;is_active;description;start_date
1;reciprocal withdrawal;synthesize compressing;Hospital;Island applications paradigm;true;envisioneer;2021-08-11
2;engage invoice Grocery;Program Arkansas iterate;MediaHouse;Avon neural vortals;true;virtual;2021-08-11
3;Ergonomic Maine Legacy;Account Concrete;IT;Associate Taiwan;false;grey;2021-08-11
4;Avon online;index;Hospital;Customer;false;Hryvnia context-sensitive Plastic;2021-08-12
5;haptic;Via;MediaHouse;Bike payment Borders;true;overriding migration Plastic;2021-08-12
6;magenta;Music leverage Pants;Consultant;sexy Reduced;false;withdrawal Wooden;2021-08-11
7;wireless COM Licensed;Supervisor Account Branding;IT;Fish Cambridgeshire;false;cutting-edge Account;2021-08-11
8;bricks-and-clicks magnetic invoice;Central silver;Hospital;gold Japan;false;Sausages Cheese withdrawal;2021-08-12
9;Loan;Shoes;MediaHouse;Chips Dinar withdrawal;true;Intelligent Kina;2021-08-12
10;Handmade;Rubber;Hospital;Granite reintermediate networks;false;Loan Officer Money;2021-08-11
